Id,Prenom,Nom,Note
1,Emma,Blanc,16.01
2,Lina,Blanchard,4.24
3,Martin,Lefevre,1.08
4,Nathan,Guillaume,18.88
5,Emy,Durand,1.8
6,Axel,Roussel,11.67
7,Elio,Vidal,6.1
8,Lina,Simon,15.79
9,Romane,Gauthier,4.5
10,Eva,Lacroix,17.07
11,Milo,Francois,18.45
12,Emma,Arnaud,16.8
13,Adam,Dumas,2.34
14,Luna,Roux,17.84
15,Léo,Richard,4.89
16,Charlie,Marie,19.08
17,Alma,Roux,11.45
18,Léon,Duval,0.9
19,Maël,Robert,13.04
20,Mathis,Dumont,3.86
21,Mathis,Meunier,15.03
22,Valentin,David,7.87
23,Lina,Legrand,14.97
24,Rayan,Picard,9.44
25,Arthur,Roy,19.6
26,Marius,Guillaume,13.07
27,Julia,Rousseau,18.84
28,Martin,Gauthier,12.83
29,Jules,Chevalier,8.2
30,Romy,Leclercq,1.88
31,Mya,Andre,7.31
32,Nathan,Garcia,17.48
33,Ethan,Barbier,3.68
34,Noé,Brun,9.22
35,Victor,Robert,14.64
36,Alix,Lambert,19.7
37,Elio,Muller,18.65
38,Alix,Dumont,13.15
39,Enzo,David,11.66
40,Valentin,Garcia,4.87
41,Paul,Riviere,1.22
42,Nino,Garcia,15.61
43,Robin,Caron,10.85
44,Anna,Chevalier,11.49
45,Luna,Moreau,3.75
46,Lya,Leclerc,6.36
47,Lou,Perrin,18.33
48,Romy,Durand,0.84
49,Nour,Perrin,19.49
50,Lyam,Francois,18.35
51,Eden,Lefebvre,2.12
52,Lya,Thomas,19.72
53,Lou,Pierre,5.37
54,Mathis,Clement,18.62
55,Léon,Meunier,12.56
56,Jeanne,Pierre,14.83
57,Hugo,Girard,17.85
58,Louis,Vidal,18.53
59,Emy,Leroy,14.08
60,Charlie,Girard,13.45
61,Axel,Leroux,3.19
62,Hugo,Dupont,8.37
63,Emy,Mercier,7.4
64,Victor,Arnaud,19.1
65,Marceau,Dumas,1.42
66,Isaac,Picard,7.3
67,Lucas,Aubert,8.67
68,Chloé,Francois,8.22
69,Lucas,Bernard,8.98
70,Elio,Roux,14.41
71,Emy,Brun,4.69
72,Tom,Gautier,4.49
73,Louise,Lucas,19.28
74,Victor,Meunier,10.6
75,Raphaël,Meyer,16.27
76,Eliott,Legrand,15.78
77,Lya,Masson,18.91
78,Alix,Philippe,7.38
79,Inaya,Masson,12.94
80,Lya,Laurent,4.74
81,Romy,Mathieu,12.17
82,Zoé,Fontaine,18.48
83,Jade,Lefebvre,5.82
84,Liam,Moreau,16.79
85,Alba,Nicolas,7.18
86,Léa,Morin,7.18
87,Giulia,Bourgeois,5.65
88,Léna,Gauthier,12.3
89,Gabriel,Fournier,14.72
90,Gabin,Leclerc,7.41
91,Mia,Bonnet,8.67
92,Léonie,Gautier,5.15
93,Adam,Moreau,16.63
94,Lina,Masson,4.59
95,Noé,Payet,19.13
96,Victoria,Dupont,11.84
97,Léa,Colin,19.66
98,Mathis,Denis,16.84
99,Sofia,Duval,9.3
100,Margaux,Roussel,18.49
101,Mathis,Fabre,11.48
102,Anna,Andre,12.86
103,Tiago,Fabre,1.43
104,Paul,Riviere,13.86
105,Ambre,Garcia,14.83
106,Lucas,Benoit,4.08
107,Juliette,Legrand,3.44
108,Martin,Blanchard,13.77
109,Lola,Lemaire,1.7
110,Charlotte,Garcia,14.63
111,Juliette,Fontaine,18.87
112,Mathis,Andre,2.84
113,Eden,Benoit,3.7
114,Gabin,Leroux,17.86
115,Gabriel,Durand,2.83
116,Tiago,Schmitt,3.17
117,Marceau,David,3.08
118,Tiago,Guillaume,17.21
119,Alice,Martin,4.28
120,Ayden,Leclerc,19.97
121,Lina,Lambert,2.12
122,Luna,Gauthier,16.57
123,Hugo,Fournier,19.64
124,Ayden,Guerin,1.99
125,Romy,Robert,6.23
126,Valentin,Chevalier,9.99
127,Nathan,Roche,14.17
128,Maël,Fournier,18.91
129,Luna,Caron,1.16
130,Timéo,Martin,16.71
131,Adèle,Guerin,18.0
132,Enzo,Blanchard,15.2
133,Ayden,Roy,17.93
134,Eliott,Girard,11.58
135,Romy,Rousseau,4.0
136,Eliott,Rey,9.79
137,Théo,Henry,5.35
138,Axel,Pierre,10.76
139,Hugo,Bourgeois,3.02
140,Ethan,Morin,9.15
141,Mia,Roy,8.42
142,Robin,Bertrand,11.68
143,Nour,Vincent,9.16
144,Victor,Robert,2.99
145,Adam,Nicolas,10.58
146,Louna,Barbier,4.41
147,Marius,Caron,16.58
148,Jade,Benoit,17.33
149,Chloé,Lacroix,16.14
150,Jade,Dumas,18.41
151,Valentin,Payet,5.2
152,Imran,Richard,2.98
153,Ibrahim,Duval,3.87
154,Léonie,Roger,3.2
155,Olivia,Rousseau,5.58
156,Lucie,Mercier,6.28
157,Lou,Mathieu,12.45
158,Jules,Martinez,12.83
159,Léa,Fabre,16.93
160,Victoria,Riviere,15.44
161,Lucas,Nicolas,5.47
162,Aaron,Rousseau,16.0
163,Augustin,Lecomte,4.3
164,Charlotte,Martinez,1.1
165,Léo,Dupont,7.08
166,Hugo,Denis,7.29
167,Tom,Payet,4.46
168,Maël,Dumont,8.23
169,Romane,Rousseau,9.35
170,Nino,Legrand,4.76
171,Liam,Muller,17.93
172,Axel,Leclerc,10.57
173,Louise,Dufour,2.98
174,Léna,Mercier,12.32
175,Axel,Philippe,16.45
176,Nathan,Lefebvre,9.66
177,Luna,Leroux,19.86
178,Agathe,Philippe,19.89
179,Robin,Fabre,14.09
180,Nour,Bertrand,3.38
181,Juliette,Morin,18.3
182,Emy,Garcia,13.83
183,Gabin,Dumont,12.0
184,Inès,Aubert,7.67
185,Inès,Andre,1.13
186,Théo,Robin,11.68
187,Nino,Perrin,17.31
188,Anna,Girard,9.62
189,Alba,Blanchard,12.01
190,Tom,Garnier,7.05
191,Marius,Lefevre,2.64
192,Mia,Aubert,10.01
193,Ibrahim,Dubois,17.41
194,Anna,Lefebvre,7.11
195,Milo,Petit,19.78
196,Mohamed,Perrin,4.8
197,Nina,Robert,13.4
198,Arthur,Petit,14.7
199,Lucie,Lemaire,14.4
200,Mohamed,Meunier,8.38
201,Emy,Michel,5.65
202,Iris,Simon,10.73
203,Augustin,Bonnet,2.87
204,Emy,Bonnet,12.88
205,Adam,Lemoine,0.73
206,Ayden,Dubois,14.54
207,Noé,Robert,13.51
208,Alma,Lefebvre,5.69
209,Robin,Faure,8.43
210,Lyana,Blanchard,14.61
211,Malo,Schmitt,5.45
212,Louna,Lecomte,18.62
213,Sacha,Fontaine,7.24
214,Malo,Giraud,1.58
215,Gaspard,Girard,1.67
216,Nathan,Leclercq,15.76
217,Nour,Colin,5.28
218,Juliette,Roux,15.26
219,Lyana,Roche,12.34
220,Adèle,Colin,18.23
221,Louna,Mercier,12.39
222,Lya,Fontaine,7.79
223,Romy,Morin,9.08
224,Louis,Bernard,0.52
225,Léa,Dumas,15.5
226,Alma,Marchand,18.4
227,Adam,Caron,17.05
228,Alice,Blanchard,14.56
229,Léon,Marchand,17.5
230,Enzo,Dupont,13.28
231,Nour,Boyer,5.4
232,Sacha,Meunier,2.61
233,Arthur,Masson,4.13
234,Juliette,Noel,17.59
235,Nathan,Mathieu,10.11
236,Lina,David,5.92
237,Louis,Clement,18.06
238,Enzo,Robert,19.69
239,Elio,Roger,17.91
240,Lucas,Guillaume,9.53
241,Anna,Mercier,14.02
242,Aaron,Lefebvre,18.25
